Jurisdiction,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C1_N,C2_N,C3_N,C4_N,C5_N,C6_N,C7_N,C8_N,C9_N,C10_N,C11_N,C12_N,BLI
Australia,5,2,1,2,1,2,2,1,0,2,2,2,1,1,1,1,0.5,1,1,0.5,0,1,1,0.666666667,0.805555556
Austria,5,1,1,1,1.5,1,1,0,1,2,2,3,1,0.5,1,0.5,0.75,0.5,0.5,0,1,1,1,1,0.729166667
Belgium,4,0,1,0,0.75,1,2,1,0,2,1,3,0.8,0,1,0,0.375,0.5,1,0.5,0,1,0.5,1,0.55625
Canada,4,2,1,2,0.84,2,2,1,1,2,1,3,0.8,1,1,1,0.42,1,1,0.5,1,1,0.5,1,0.851666667
Finland,5,1,1,2,1.25,2,2,0,1,2,1,3,1,0.5,1,1,0.625,1,1,0,1,1,0.5,1,0.802083333
Germany,5,0,0,1,1,2,1,0,1,2,2,3,1,0,0,0.5,0.5,1,0.5,0,1,1,1,1,0.625
Hong Kong,5,1,1,1,0.75,1,2,0,1,1,1.5,2,1,0.5,1,0.5,0.375,0.5,1,0,1,0.5,0.75,0.666666667,0.649305556
Israel,4,2,1,1,1.25,2,2,0,1,1,2,2,0.8,1,1,0.5,0.625,1,1,0,1,0.5,1,0.666666667,0.757638889
Japan,4,0,1,2,1.25,2,1,0,1,2,0,2,0.8,0,1,1,0.625,1,0.5,0,1,1,0,0.666666667,0.632638889
Malaysia,3,1,1,0,0.75,2,3,1,0,1,1,3,0.6,0.5,1,0,0.375,1,1.5,0.5,0,0.5,0.5,1,0.622916667
Shenzhen,4,0,1,2,0.75,2,1,1,1,1,1,NA,0.8,0,1,1,0.375,1,0.5,0.5,1,0.5,0.5,NA,0.652272727
Singapore,2,1,1,1,1.25,2,1,0,0,1,1,2,0.4,0.5,1,0.5,0.625,1,0.5,0,0,0.5,0.5,0.666666667,0.515972222
United Kingdom,5,1,1,0,1.5,2,2,1,1,2,0,2,1,0.5,1,0,0.75,1,1,0.5,1,1,0,0.666666667,0.701388889
United States,4,2,0,2,0.84,2,1,0,1,2,2,3,0.8,1,0,1,0.42,1,0.5,0,1,1,1,1,0.726666667