jurisdiction,bli,gii,wb_resolving_insolvency,recovery_rate,gdp_growth,time,cost,gfcf,continent,bli_category
Singapore,0.52,57.8,74.3,88.7,1.3,0.8,4,4.6,Outside Asia,Low
Belgium,0.56,49.2,84.1,89.4,2.1,0.9,3.5,2.2,Asia,Low
Malaysia,0.62,41.9,67,81,4.4,1,10,7.2,Outside Asia,Low
Germany,0.63,57.3,89.8,79.8,1,1.2,8,1.7,Outside Asia,Low
Japan,0.63,54.5,90.2,92.1,0.3,0.6,4.2,-0.02,Outside Asia,Low
Hong Kong,0.65,53.7,65.7,87.2,-1.7,0.8,5,1.1,Outside Asia,Low
Shenzhen,0.70,54.8,62.1,36.9,5.9,1.7,22,14.6,Outside Asia,Low
United States,0.73,61.3,90.5,81,2.2,1,10,2.1,Asia,High
Austria,0.73,50.9,77.4,79.9,1.5,1.1,10,1.5,Outside Asia,High
Israel,0.76,53.4,72.7,62.6,3.8,2,23,4.5,Asia,High
United Kingdom,0.78,59.8,80.3,85.4,1.7,1,6,1.2,Asia,High
Finland,0.80,58.4,92.7,88,1.2,0.9,3.5,1.4,Outside Asia,High
Australia,0.85,48.3,78.9,82.7,2.1,1,8,2.9,Asia,High
Canada,0.89,53.1,81,86.7,1.9,0.8,7,2.1,Outside Asia,High