jurisdiction,bli,gii,wb_resolving_insolvency,recovery_rate,gdp_growth,time,cost,gfcf
Australia,0.85,48.3,78.9,82.7,2.1,1,8,2.9
Austria,0.73,50.9,77.4,79.9,1.5,1.1,10,1.5
Belgium,0.56,49.2,84.1,89.4,2.1,0.9,3.5,2.2
Canada,0.89,53.1,81,86.7,1.9,0.8,7,2.1
Finland,0.8,58.4,92.7,88,1.2,0.9,3.5,1.4
Germany,0.63,57.3,89.8,79.8,1,1.2,8,1.7
Hong Kong,0.65,53.7,65.7,87.2,-1.7,0.8,5,1.1
Israel,0.76,53.4,72.7,62.6,3.8,2,23,4.5
Japan,0.63,54.5,90.2,92.1,0.3,0.6,4.2,-0.02
Malaysia,0.62,41.9,67,81,4.4,1,10,7.2
Singapore,0.52,57.8,74.3,88.7,1.3,0.8,4,4.6
United Kingdom,0.78,59.8,80.3,85.4,1.7,1,6,1.2
United States,0.73,61.3,90.5,81,2.2,1,10,2.1